ZIP,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,State Legislative District House,State Legislative District Senate,Congressional District,Congress,population
53215,43.006014,-87.942935,1,place,,,,,Milwaukee,WI,Milwaukee County,53215,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 8,State Senate District 3,WI4,117th,"60,010"
54601,43.806197,-91.140529,1,place,,,,,La Crosse,WI,La Crosse County,54601,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 94,State Senate District 32,WI3,117th,"50,388"
53711,43.021252,-89.417973,1,place,,,,,Madison,WI,Dane County,53711,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 47,State Senate District 16,WI2,117th,"50,062"
53511,42.562039,-89.086045,1,place,,,,,Beloit,WI,Rock County,53511,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 45,State Senate District 15,WI2,117th,"49,256"
53209,43.140909,-87.942653,1,place,,,,,Milwaukee,WI,Milwaukee County,53209,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 24,State Senate District 8,WI4,117th,"46,616"
53704,43.136269,-89.347319,1,place,,,,,Madison,WI,Dane County,53704,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 48,State Senate District 16,WI2,117th,"46,090"
54115,44.44888,-88.06038,1,place,,,,,De Pere,WI,Brown County,54115,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 88,State Senate District 30,WI8,117th,"45,657"
54956,44.182337,-88.527574,1,place,,,,,Neenah,WI,Winnebago County,54956,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 55,State Senate District 19,WI6,117th,"44,037"
54703,44.836453,-91.518514,1,place,,,,,Eau Claire,WI,Eau Claire County,54703,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 91,State Senate District 31,WI3,117th,"43,622"
54915,44.243138,-88.356058,1,place,,,,,Appleton,WI,Calumet County,54915,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 3,State Senate District 1,WI8,117th,"43,354"
53081,43.71011,-87.735217,1,place,,,,,Sheboygan,WI,Sheboygan County,53081,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 26,State Senate District 9,WI6,117th,"42,199"
54935,43.77366,-88.436782,1,place,,,,,Fond Du Lac,WI,Fond Du Lac County,54935,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 52,State Senate District 18,WI6,117th,"42,156"
53218,43.11546,-87.991687,1,place,,,,,Milwaukee,WI,Milwaukee County,53218,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 11,State Senate District 4,WI4,117th,"41,974"
54701,44.75653,-91.473097,1,place,,,,,Eau Claire,WI,Eau Claire County,54701,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 93,State Senate District 31,WI3,117th,"40,874"
53590,43.195712,-89.209418,1,place,,,,,Sun Prairie,WI,Dane County,53590,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 46,State Senate District 16,WI2,117th,"40,417"
53221,42.953909,-87.943306,1,place,,,,,Milwaukee,WI,Milwaukee County,53221,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 7,State Senate District 3,WI4,117th,"40,109"
