zip,lat,lon,city,county,state house dist,state senate dist,congressional dist,population
53215,43.006014,-87.942935,Milwaukee,Milwaukee County,Assembly District 8,State Senate District 3,WI4,60010
54601,43.806197,-91.140529,La Crosse,La Crosse County,Assembly District 94,State Senate District 32,WI3,50388
53711,43.021252,-89.417973,Madison,Dane County,Assembly District 47,State Senate District 16,WI2,50062
53511,42.562039,-89.086045,Beloit,Rock County,Assembly District 45,State Senate District 15,WI2,49256
53209,43.140909,-87.942653,Milwaukee,Milwaukee County,Assembly District 24,State Senate District 8,WI4,46616
53704,43.136269,-89.347319,Madison,Dane County,Assembly District 48,State Senate District 16,WI2,46090
54115,44.44888,-88.06038,De Pere,Brown County,Assembly District 88,State Senate District 30,WI8,45657
54956,44.182337,-88.527574,Neenah,Winnebago County,Assembly District 55,State Senate District 19,WI6,44037
54703,44.836453,-91.518514,Eau Claire,Eau Claire County,Assembly District 91,State Senate District 31,WI3,43622
54915,44.243138,-88.356058,Appleton,Calumet County,Assembly District 3,State Senate District 1,WI8,43354
53081,43.71011,-87.735217,Sheboygan,Sheboygan County,Assembly District 26,State Senate District 9,WI6,42199
54935,43.77366,-88.436782,Fond Du Lac,Fond Du Lac County,Assembly District 52,State Senate District 18,WI6,42156
53218,43.11546,-87.991687,Milwaukee,Milwaukee County,Assembly District 11,State Senate District 4,WI4,41974
54701,44.75653,-91.473097,Eau Claire,Eau Claire County,Assembly District 93,State Senate District 31,WI3,40874
53590,43.195712,-89.209418,Sun Prairie,Dane County,Assembly District 46,State Senate District 16,WI2,40417
53221,42.953909,-87.943306,Milwaukee,Milwaukee County,Assembly District 7,State Senate District 3,WI4,40109
54220,44.109709,-87.714403,Manitowoc,Manitowoc County,Assembly District 25,State Senate District 9,WI6,39008
54313,44.586363,-88.115165,Green Bay,Brown County,Assembly District 5,State Senate District 2,WI8,38837
53204,43.019463,-87.925534,Milwaukee,Milwaukee County,Assembly District 8,State Senate District 3,WI4,38678
54901,44.062886,-88.535694,Oshkosh,Winnebago County,Assembly District 53,State Senate District 18,WI6,37792
53051,43.159363,-88.121527,Menomonee Falls,Waukesha County,Assembly District 22,State Senate District 8,WI5,37219
53207,42.975115,-87.894682,Milwaukee,Milwaukee County,Assembly District 20,State Senate District 7,WI4,36889
54311,44.479888,-87.892181,Green Bay,Brown County,Assembly District 88,State Senate District 30,WI8,36289
53154,42.886266,-87.89198,Oak Creek,Milwaukee County,Assembly District 21,State Senate District 7,WI1,36066
53132,42.887289,-88.009597,Franklin,Milwaukee County,Assembly District 82,State Senate District 28,WI1,35782
53188,43.022273,-88.292435,Waukesha,Waukesha County,Assembly District 98,State Senate District 33,WI5,35730
53214,43.021514,-88.017587,Milwaukee,Milwaukee County,Assembly District 13,State Senate District 5,WI5,35543
53211,43.082018,-87.889534,Milwaukee,Milwaukee County,Assembly District 10,State Senate District 4,WI4,35457
53066,43.087062,-88.463305,Oconomowoc,Waukesha County,Assembly District 99,State Senate District 33,WI5,35357
53219,42.995814,-87.990335,Milwaukee,Milwaukee County,Assembly District 7,State Senate District 3,WI4,34878
53703,43.079575,-89.378389,Madison,Dane County,Assembly District 76,State Senate District 26,WI2,34766
53216,43.086244,-87.976988,Milwaukee,Milwaukee County,Assembly District 17,State Senate District 6,WI4,33583
53402,42.795889,-87.816532,Racine,Racine County,Assembly District 62,State Senate District 21,WI1,33554
53142,42.518443,-87.982634,Kenosha,Kenosha County,Assembly District 61,State Senate District 21,WI1,33447
53186,43.022155,-88.204676,Waukesha,Waukesha County,Assembly District 98,State Senate District 33,WI5,33065
54729,44.958689,-91.319492,Chippewa Falls,Chippewa County,Assembly District 68,State Senate District 23,WI3,32714
54016,44.97469,-92.75687,Hudson,St. Croix County,Assembly District 30,State Senate District 10,WI7,31972
54302,44.495042,-87.978652,Green Bay,Brown County,Assembly District 90,State Senate District 30,WI8,31633
53151,42.973459,-88.127689,New Berlin,Waukesha County,Assembly District 84,State Senate District 28,WI5,31515
53719,43.045313,-89.515378,Madison,Dane County,Assembly District 78,State Senate District 26,WI2,31487
54914,44.280839,-88.452033,Appleton,Outagamie County,Assembly District 55,State Senate District 19,WI8,30890
54401,44.963304,-89.704051,Wausau,Marathon County,Assembly District 85,State Senate District 29,WI7,30549
53212,43.074862,-87.907178,Milwaukee,Milwaukee County,Assembly District 10,State Senate District 4,WI4,30546
53546,42.663574,-88.947859,Janesville,Rock County,Assembly District 31,State Senate District 11,WI1,30185
53208,43.045962,-87.963536,Milwaukee,Milwaukee County,Assembly District 18,State Senate District 6,WI4,30161
54880,46.574982,-92.117578,Superior,Douglas County,Assembly District 73,State Senate District 25,WI7,29914
53105,42.692103,-88.228793,Burlington,Racine County,Assembly District 63,State Senate District 21,WI1,29781
53140,42.622449,-87.830375,Kenosha,Kenosha County,Assembly District 64,State Senate District 22,WI1,29671
53223,43.162959,-87.977896,Milwaukee,Milwaukee County,Assembly District 11,State Senate District 4,WI4,29244
53217,43.157299,-87.913268,Milwaukee,Milwaukee County,Assembly District 24,State Senate District 8,WI4,28661
54481,44.510664,-89.638254,Stevens Point,Portage County,Assembly District 71,State Senate District 24,WI3,28614
53213,43.048802,-88.001511,Milwaukee,Milwaukee County,Assembly District 13,State Senate District 5,WI5,27667
54303,44.552247,-88.078803,Green Bay,Brown County,Assembly District 4,State Senate District 2,WI8,27416
53095,43.422223,-88.195862,West Bend,Washington County,Assembly District 58,State Senate District 20,WI5,27351
54304,44.497541,-88.032443,Green Bay,Brown County,Assembly District 90,State Senate District 30,WI8,27315
